BusinessID,Name,Cuisine,Address,Coordinates,NumberOfReviews,Rating,ZipCode
5z7OuOWuZRu6byp2XDKbQw,Saravanaa Bhavan,Indian,81 Lexington Ave,"40.7414, -73.98306",1021,3.5,10016
ZNJ4ij7_xOlKSeMeEh1khA,Rowdy Rooster,Indian,149 1st Ave,"40.728473350506725, -73.98500709999999",195,4.5,10003
jzO5HyrTtumHpe-pbUlndQ,Aangan Indian Cuisine,Indian,2701 Broadway,"40.799446, -73.968795",232,3.5,10025
rzjwoNXH2tCEmA3wo6fy9w,India Palace,Indian,401 E 62nd St,"40.763200972497586, -73.96042531491231",30,4.0,10065
u1gdMF6vMCdwCilQ6vgyfw,Honest,Indian,176 Bleecker St,"40.72887, -74.00082",52,4.5,10012
zVLG_O3AQnvQ53PSJ5mTMA,Om,Indian,1531 York Ave,"40.7726799, -73.9497983",547,4.0,10028
GaxVczLK1qUuJHOP9VcFsQ,Ananda,Indian,210 Thompson St,"40.728724, -73.999147",403,4.0,10012
CEdTPBK6HBjpUP_zLDdrlQ,SONA,Indian,36 East 20th St,"40.73861, -73.98864",354,3.0,10003
wm10mMj_41_-l_gRhRH3TA,deep indian kitchen - indikitch,Indian,940 8th Ave,"40.76573, -73.98338",491,4.0,10019
NVMdf02l1GuzzDb7ESI_qQ,Taste From Everest,Indian,102 Lexington Ave,"40.7422712, -73.9830327",107,4.5,10016
7DUPGtHqVZHJ3yIufbWLsg,Malai Marke Indian Cuisine,Indian,318 E 6th St,"40.726934, -73.98758",651,4.0,10003
jb-Fe1cC3ZARF9xyFvJQYQ,Tandoor Oven,Indian,175 E 83rd St,"40.77715077114621, -73.9556964",200,3.5,10028
UiG3MlLDMMZp31XDBM2kvA,Karahi Indian Cuisine,Indian,803 9th Ave,"40.765667, -73.987595",109,4.5,10019
m9Q9x-Hcxp24gZCaTTJY-A,Sahib,Indian,104 Lexington Ave,"40.74232, -73.9830099",300,4.0,10016
XgqIDfU6tKPUdRxRG5uDNw,Desi Deli Indian Restaurant,Indian,724 10th Ave,"40.76433, -73.99182",150,3.5,10019
gWuHmSQ8G5FiKv-rEogwvA,Pongal,Indian,110 Lexington Ave,"40.74246, -73.9829",565,4.0,10016
zyQpS4QrYYB0VKXf7JPUlQ,Atithi Indian Cuisine,Indian,159 Grand St,"40.714765, -73.961606",214,5.0,11249
BXoW0AUDE7WZJcY-Vhqlbg,Indian Table,Indian,234 Court St,"40.6859591, -73.9941661",209,4.5,11201
17hj-J-E7UFki3Brshu0lQ,Taste of India,Indian,166 Cedar Ln,"40.88572146, -74.01248005",87,4.0,07666
_SIoeZKs--95T4OsUKwtJw,Chote Miya,Indian,75 9th Ave,"40.74222, -74.00466",76,4.0,10011
V2oWqXcoJkgGeIPOaS9eDA,Masala Times Greenwich Village,Indian,194 Bleecker St,"40.7292728223798, -74.0015978515206",573,4.0,10012
gPattIGuKxCgeNjxfEMDjg,Punjabi Junction Of 87th,Indian,1665 1st Ave,"40.777471, -73.949159",62,5.0,10028
mZALre3ahuetu5X8_uUJew,Thelewala,Indian,112 Macdougal St,"40.72963, -74.00068",541,4.0,10012
SP4bvMvxel_UPdof_er3HA,Taco Mahal,Indian,73 7th Ave S,"40.73235768476899, -74.00332645767203",853,4.5,10014
FvnExtQHPfz_crDCBTQ1iQ,Mint Masala,Indian,95 Macdougal St,"40.729513, -74.001138",349,4.0,10012
iYh7mB7PDd5ZvZZ4lFPF1w,Anand Indian Cuisine,Indian,304 E 78th St,"40.77232, -73.955241",168,4.0,10075
nQfPwIasXCi8NwNKq65vfw,Mysttik Masaala,Indian,152 West 52nd St,"40.7617745, -73.98173",132,4.5,10019
lIE4KHySIenwPbta1JuM8Q,Mumbai Masala,Indian,1768 Amsterdam Ave,"40.82695, -73.94676",289,4.5,10031
7VIUu8ay754GoUYEpsmxOA,Jazba,Indian,207 2nd Ave,"40.731701, -73.98585",3,4.5,10003
_z2_1TE_1brlvljiGtJ4mA,Aahar Indian Cuisine,Indian,10 Murray St,"40.71334, -74.0081",441,4.5,10007
hR7Epr9dAQpCCW9Q1SnZwQ,Pataka,Indian,40-05 Skillman Ave,"40.74746115277219, -73.92321919999999",77,5.0,11104
uucP1LoFyamFS0qDwgMXbg,Ghandi Cafe,Indian,283 Bleecker St,"40.73194, -74.0033",494,4.0,10014
NhBUzlITbu3rdjm9UEfWsw,Raj's Indian Kitchen,Indian,42-12 28th St,"40.74956171352732, -73.93954799532425",352,4.0,11101
3C6c_zqRz_U2AyeN_7LTsg,Himalayan Yak,Indian,72-20 Roosevelt Ave,"40.746494, -73.892766",716,4.0,11372
l_Td-NFRIdxu7m6pgJUqhQ,Manhattan Valley,Indian,2636 Broadway 100 St,"40.796965, -73.969741",125,3.5,10025
